filename	sent_density	ttr_basic	ave_s_len	register
1+NA+....txt	47.0	557.0	21429.0	NA
1+NA+....txt	63.0	223.0	15992.0	NA
1+IP+....txt	34.0	662.0	29000.0	IP
1+SP+....txt	55.0	327.0	18052.0	SP
1+LY+....txt	6.0	285.0	162727.0	LY
1+IP+....txt	41.0	392.0	24481.0	IP
1+IP+....txt	42.0	452.0	23611.0	IP
1+NA+....txt	43.0	378.0	23064.0	NA
1+LY+....txt	4.0	349.0	258000.0	LY
1+OP+....txt	49.0	477.0	20435.0	OP
1+NA+....txt	63.0	273.0	15997.0	NA
1+IN+....txt	39.0	298.0	25940.0	IN
1+IP+....txt	41.0	431.0	24435.0	IP
1+IN+....txt	37.0	396.0	26978.0	IN
1+OP+....txt	45.0	534.0	22167.0	OP
1+OP+....txt	39.0	463.0	25405.0	OP
1+SP+....txt	49.0	360.0	20415.0	SP
1+IP+....txt	30.0	432.0	33167.0	IP
1+IP+....txt	38.0	417.0	26433.0	IP
1+NA+....txt	38.0	510.0	26048.0	NA
1+IN+....txt	46.0	536.0	21545.0	IN
1+IP+....txt	40.0	403.0	25111.0	IP
1+NA+....txt	16.0	559.0	61750.0	NA
1+NA+....txt	58.0	470.0	17327.0	NA
1+IN+....txt	45.0	323.0	22405.0	IN
1+OP+....txt	56.0	480.0	18000.0	OP
1+NA+....txt	48.0	478.0	20833.0	NA
1+NA+....txt	39.0	431.0	25476.0	NA
1+OP+....txt	40.0	218.0	24751.0	OP
1+IP+....txt	25.0	543.0	40000.0	IP
1+IP+....txt	35.0	404.0	28733.0	IP
1+SP+....txt	51.0	355.0	19739.0	SP
1+IN+....txt	42.0	282.0	23679.0	IN
1+SP+....txt	60.0	572.0	16700.0	SP
1+IP+....txt	55.0	590.0	18182.0	IP
1+OP+....txt	32.0	544.0	31421.0	OP
1+OP+....txt	33.0	378.0	30389.0	OP
1+SP+....txt	56.0	431.0	17811.0	SP
1+IN+....txt	46.0	480.0	21926.0	IN
1+NA+....txt	30.0	602.0	32833.0	NA
1+IN+....txt	49.0	362.0	20274.0	IN
1+SP+....txt	55.0	441.0	18269.0	SP
1+LY+....txt	98.0	443.0	10167.0	LY
1+SP+....txt	61.0	192.0	16331.0	SP
1+NA+....txt	40.0	485.0	24760.0	NA
1+IP+....txt	59.0	512.0	16833.0	IP
1+IN+....txt	44.0	379.0	22902.0	IN
1+SP+....txt	46.0	328.0	21541.0	SP
1+NA+....txt	43.0	308.0	23288.0	NA
1+LY+....txt	9.0	380.0	114600.0	LY
1+SP+....txt	63.0	257.0	15819.0	SP
1+IN+....txt	47.0	518.0	21143.0	IN
1+SP+....txt	67.0	517.0	14962.0	SP
1+LY+....txt	4.0	511.0	274000.0	LY
1+SP+....txt	39.0	297.0	25854.0	SP
1+IN+....txt	41.0	476.0	24674.0	IN
1+OP+....txt	36.0	463.0	27762.0	OP
1+OP+....txt	27.0	483.0	37000.0	OP
1+OP+....txt	34.0	349.0	29743.0	OP
1+NA+....txt	24.0	448.0	41250.0	NA
1+SP+....txt	52.0	328.0	19244.0	SP
1+IP+....txt	33.0	490.0	30250.0	IP
1+IP+....txt	51.0	337.0	19713.0	IP
1+OP+....txt	45.0	327.0	22122.0	OP
1+LY+....txt	6.0	503.0	164000.0	LY
1+NA+....txt	41.0	385.0	24196.0	NA
1+OP+....txt	36.0	505.0	27750.0	OP
1+SP+....txt	56.0	317.0	17803.0	SP
1+IN+....txt	43.0	359.0	23090.0	IN
1+SP+....txt	42.0	476.0	23950.0	SP
1+OP+....txt	42.0	429.0	23771.0	OP
1+NA+....txt	30.0	463.0	32925.0	NA
1+IP+....txt	46.0	387.0	21967.0	IP
1+OP+....txt	32.0	629.0	31000.0	OP
1+OP+....txt	52.0	417.0	19190.0	OP
1+OP+....txt	36.0	465.0	28000.0	OP
1+OP+....txt	51.0	425.0	19596.0	OP
1+SP+....txt	73.0	323.0	13766.0	SP
1+LY+....txt	23.0	472.0	42714.0	LY
1+SP+....txt	75.0	424.0	13343.0	SP
1+OP+....txt	39.0	488.0	25686.0	OP
1+NA+....txt	27.0	456.0	37565.0	NA
1+NA+....txt	49.0	488.0	20595.0	NA
1+IP+....txt	41.0	506.0	24500.0	IP
1+SP+....txt	60.0	446.0	16541.0	SP
1+OP+....txt	41.0	487.0	24323.0	OP
1+OP+....txt	47.0	455.0	21167.0	OP
1+LY+....txt	2.0	346.0	422000.0	LY
1+NA+....txt	39.0	391.0	25468.0	NA
1+IN+....txt	52.0	363.0	19190.0	IN
1+SP+....txt	52.0	282.0	19308.0	SP
1+SP+....txt	54.0	251.0	18648.0	SP
1+LY+....txt	25.0	452.0	40429.0	LY
1+IN+....txt	40.0	274.0	25272.0	IN
1+LY+....txt	38.0	561.0	26167.0	LY
1+LY+....txt	15.0	657.0	68500.0	LY
1+IP+....txt	43.0	458.0	23182.0	IP
1+OP+....txt	52.0	462.0	19186.0	OP
1+IP+....txt	37.0	394.0	27344.0	IP
1+OP+....txt	47.0	540.0	21471.0	OP
1+IP+....txt	26.0	540.0	38875.0	IP
1+OP+....txt	69.0	328.0	14554.0	OP
1+IP+....txt	30.0	452.0	33846.0	IP
1+IP+....txt	38.0	350.0	26227.0	IP
1+IN+....txt	56.0	435.0	17769.0	IN
1+NA+....txt	57.0	510.0	17423.0	NA
1+IN+....txt	41.0	673.0	24500.0	IN
1+IN+....txt	36.0	362.0	28132.0	IN
1+IP+....txt	34.0	517.0	29111.0	IP
1+NA+....txt	38.0	449.0	26075.0	NA
1+IN+....txt	48.0	490.0	20788.0	IN
1+SP+....txt	31.0	377.0	32345.999999999996	SP
1+NA+....txt	32.0	469.0	31417.0	NA
1+IP+....txt	42.0	495.0	23750.0	IP
1+IN+....txt	43.0	503.0	23440.0	IN
1+IN+....txt	45.0	374.0	22243.0	IN
1+IP+....txt	34.0	398.0	29278.0	IP
1+OP+....txt	42.0	532.0	23846.0	OP
1+NA+....txt	42.0	567.0	24000.0	NA
1+SP+....txt	64.0	496.0	15667.0	SP
1+SP+....txt	37.0	376.0	26673.0	SP
1+IP+....txt	45.0	538.0	22438.0	IP
1+IP+....txt	28.0	453.0	35929.0	IP
1+IN+....txt	32.0	432.0	31075.0	IN
1+SP+....txt	72.0	346.0	13939.0	SP
1+IP+....txt	38.0	532.0	26333.0	IP
1+LY+....txt	21.0	548.0	48667.0	LY
1+OP+....txt	40.0	634.0	24889.0	OP
1+IP+....txt	45.0	361.0	22224.0	IP
1+NA+....txt	34.0	446.0	29800.0	NA
1+OP+....txt	67.0	489.0	15015.0	OP
1+SP+....txt	64.0	319.0	15588.0	SP
1+IN+....txt	32.0	600.0	31667.0	IN
1+LY+....txt	4.0	484.0	254000.0	LY
1+NA+....txt	31.0	533.0	32110.999999999996	NA
1+NA+....txt	36.0	472.0	27488.0	NA
1+NA+....txt	37.0	468.0	27000.0	NA
1+IN+....txt	34.0	380.0	29485.0	IN
1+OP+....txt	43.0	433.0	23162.0	OP
1+IP+....txt	55.0	514.0	18026.0	IP
1+OP+....txt	43.0	504.0	23378.0	OP
1+IP+....txt	37.0	431.0	27245.0	IP
1+NA+....txt	36.0	511.0	27529.0	NA
1+IN+....txt	40.0	621.0	24750.0	IN
1+OP+....txt	49.0	352.0	20268.0	OP
1+IN+....txt	43.0	212.0	23229.0	IN
1+SP+....txt	78.0	348.0	12815.0	SP
1+NA+....txt	54.0	438.0	18597.0	NA
1+NA+....txt	38.0	557.0	26333.0	NA
1+OP+....txt	52.0	215.0	19135.0	OP
1+OP+....txt	40.0	453.0	24759.0	OP
1+IN+....txt	45.0	652.0	22100.0	IN
1+IN+....txt	46.0	593.0	21917.0	IN
1+IP+....txt	38.0	366.0	26397.0	IP
1+IP+....txt	43.0	387.0	23306.0	IP
1+LY+....txt	18.0	533.0	56750.0	LY
1+IP+....txt	72.0	458.0	13932.0	IP
1+NA+....txt	41.0	421.0	24125.0	NA
1+LY+....txt	28.0	395.0	36000.0	LY
1+NA+....txt	57.0	413.0	17492.0	NA
1+LY+....txt	4.0	441.0	238000.0	LY
1+NA+....txt	35.0	440.0	28310.0	NA
1+LY+....txt	5.0	406.0	202000.0	LY
1+IN+....txt	38.0	300.0	26374.0	IN
1+SP+....txt	68.0	318.0	14600.0	SP
1+LY+....txt	3.0	521.0	357000.0	LY
1+NA+....txt	41.0	512.0	24280.0	NA
1+OP+....txt	28.0	659.0	35800.0	OP
1+OP+....txt	50.0	383.0	20115.0	OP
1+OP+....txt	47.0	540.0	21385.0	OP
1+LY+....txt	53.0	646.0	18833.0	LY
1+IP+....txt	32.0	357.0	31179.0	IP
1+LY+....txt	3.0	203.0	399000.0	LY
1+SP+....txt	41.0	535.0	24364.0	SP
1+SP+....txt	46.0	465.0	21886.0	SP
1+IP+....txt	43.0	562.0	23214.0	IP
1+SP+....txt	46.0	447.0	21564.0	SP
1+IP+....txt	49.0	494.0	20340.0	IP
1+OP+....txt	43.0	657.0	23333.0	OP
1+IN+....txt	44.0	234.0	22653.0	IN
1+LY+....txt	9.0	298.0	110750.0	LY
1+SP+....txt	52.0	348.0	19284.0	SP
1+SP+....txt	42.0	369.0	23754.0	SP
1+NA+....txt	58.0	347.0	17244.0	NA
1+LY+....txt	44.0	269.0	22583.0	LY
1+LY+....txt	19.0	352.0	52714.0	LY
1+IP+....txt	36.0	514.0	27900.0	IP
1+NA+....txt	31.0	431.0	32389.000000000004	NA
1+OP+....txt	52.0	555.0	19222.0	OP
1+OP+....txt	52.0	398.0	19135.0	OP
1+IP+....txt	53.0	202.0	18726.0	IP
1+IN+....txt	46.0	307.0	21762.0	IN
1+SP+....txt	53.0	426.0	18867.0	SP
1+IP+....txt	40.0	419.0	25086.0	IP
1+SP+....txt	68.0	233.0	14661.0	SP
1+IP+....txt	45.0	545.0	22000.0	IP
1+NA+....txt	42.0	545.0	23765.0	NA
1+NA+....txt	34.0	519.0	29773.0	NA
1+SP+....txt	59.0	405.0	16968.0	SP
1+SP+....txt	70.0	436.0	14186.0	SP
1+LY+....txt	69.0	321.0	14560.0	LY
1+IP+....txt	44.0	518.0	22742.0	IP
1+IN+....txt	30.0	393.0	33083.0	IN
1+SP+....txt	75.0	439.0	13357.0	SP
1+IP+....txt	45.0	689.0	22000.0	IP
1+NA+....txt	36.0	538.0	27700.0	NA
1+OP+....txt	42.0	363.0	23589.0	OP
1+NA+....txt	38.0	415.0	26605.0	NA
1+LY+....txt	32.0	512.0	31455.0	LY
1+SP+....txt	61.0	419.0	16364.0	SP
1+NA+....txt	61.0	226.0	16378.0	NA
1+OP+....txt	42.0	587.0	24059.0	OP
1+IN+....txt	42.0	346.0	23572.0	IN
1+NA+....txt	17.0	648.0	58667.0	NA
1+OP+....txt	77.0	663.0	13000.0	OP
1+IN+....txt	46.0	529.0	21818.0	IN
1+OP+....txt	53.0	171.0	18708.0	OP
1+LY+....txt	3.0	320.0	353000.0	LY
1+LY+....txt	12.0	434.0	83000.0	LY
1+SP+....txt	55.0	542.0	18286.0	SP
1+OP+....txt	31.0	389.0	32202.0	OP
1+NA+....txt	35.0	368.0	28561.0	NA
1+NA+....txt	19.0	431.0	51700.0	NA
1+SP+....txt	45.0	321.0	22153.0	SP
1+OP+....txt	48.0	477.0	20722.0	OP
1+IP+....txt	48.0	417.0	20807.0	IP
1+IN+....txt	46.0	463.0	21800.0	IN
1+SP+....txt	76.0	328.0	13102.0	SP
1+NA+....txt	22.0	604.0	46333.0	NA
1+LY+....txt	16.0	271.0	63333.0	LY
1+IN+....txt	40.0	468.0	25316.0	IN
1+SP+....txt	64.0	393.0	15653.0	SP
1+SP+....txt	56.0	391.0	17875.0	SP
1+SP+....txt	68.0	365.0	14730.0	SP
1+OP+....txt	38.0	569.0	26214.0	OP
1+SP+....txt	35.0	249.0	28493.0	SP
1+IN+....txt	37.0	394.0	27222.0	IN
1+OP+....txt	61.0	523.0	16481.0	OP
1+OP+....txt	55.0	605.0	18250.0	OP
1+OP+....txt	61.0	561.0	16320.0	OP
1+IN+....txt	53.0	331.0	18983.0	IN
1+IN+....txt	52.0	456.0	19333.0	IN
1+SP+....txt	33.0	436.0	29966.0	SP
1+IP+....txt	41.0	405.0	24500.0	IP
1+SP+....txt	59.0	369.0	17076.0	SP
1+LY+....txt	49.0	459.0	20318.0	LY
1+SP+....txt	55.0	418.0	18278.0	SP
1+IP+....txt	59.0	379.0	16836.0	IP
1+NA+....txt	42.0	559.0	24000.0	NA
1+SP+....txt	49.0	540.0	20588.0	SP
1+SP+....txt	55.0	219.0	18293.0	SP
1+OP+....txt	54.0	603.0	18438.0	OP
1+SP+....txt	43.0	641.0	23000.0	SP
1+LY+....txt	8.0	661.0	127000.0	LY
1+IN+....txt	45.0	307.0	22244.0	IN
1+IN+....txt	44.0	377.0	22712.0	IN
1+IN+....txt	43.0	489.0	23214.0	IN
1+LY+....txt	3.0	397.0	315000.0	LY
1+OP+....txt	51.0	414.0	19750.0	OP
1+OP+....txt	35.0	254.0	28833.0	OP
1+IP+....txt	42.0	360.0	23641.0	IP
1+IP+....txt	35.0	437.0	28170.0	IP
1+IP+....txt	30.0	404.0	33842.0	IP
1+IN+....txt	32.0	494.0	31091.0	IN
1+LY+....txt	6.0	324.0	170000.0	LY
1+IN+....txt	51.0	203.0	19529.0	IN
1+IP+....txt	55.0	489.0	18027.0	IP
1+IP+....txt	34.0	638.0	29375.0	IP
1+NA+....txt	47.0	417.0	21202.0	NA
1+LY+....txt	27.0	391.0	37100.0	LY
1+NA+....txt	35.0	475.0	28706.0	NA
1+NA+....txt	33.0	394.0	29885.0	NA
1+IN+....txt	23.0	623.0	43000.0	IN
1+OP+....txt	29.0	481.0	33944.0	OP
1+IN+....txt	37.0	248.0	26806.0	IN
1+IN+....txt	48.0	557.0	20909.0	IN
1+SP+....txt	58.0	397.0	17296.0	SP
1+NA+....txt	38.0	470.0	26024.0	NA
1+IP+....txt	60.0	464.0	16719.0	IP
1+IP+....txt	32.0	599.0	31000.0	IP
1+IP+....txt	52.0	393.0	19304.0	IP
1+IN+....txt	41.0	398.0	24584.0	IN
1+IN+....txt	62.0	242.0	16082.0	IN
1+LY+....txt	3.0	356.0	365000.0	LY
1+LY+....txt	62.0	466.0	16222.000000000002	LY
1+IP+....txt	47.0	444.0	21348.0	IP
1+OP+....txt	58.0	161.0	17153.0	OP
1+IN+....txt	41.0	517.0	24167.0	IN
1+LY+....txt	7.0	484.0	152000.0	LY
1+IP+....txt	69.0	602.0	14458.0	IP
1+OP+....txt	59.0	117.0	17082.0	OP
1+IP+....txt	27.0	483.0	36750.0	IP
1+LY+....txt	28.0	323.0	35632.0	LY
1+SP+....txt	57.0	279.0	17439.0	SP
1+SP+....txt	51.0	419.0	19648.0	SP
1+LY+....txt	63.0	458.0	15778.0	LY
1+NA+....txt	52.0	424.0	19288.0	NA
1+NA+....txt	43.0	399.0	23277.0	NA
1+OP+....txt	47.0	378.0	21208.0	OP
1+LY+....txt	36.0	288.0	27769.0	LY
1+IP+....txt	43.0	360.0	23146.0	IP
1+SP+....txt	41.0	265.0	24373.0	SP
1+NA+....txt	50.0	493.0	20000.0	NA
1+NA+....txt	39.0	528.0	25850.0	NA
1+OP+....txt	59.0	355.0	16988.0	OP
1+LY+....txt	37.0	516.0	27143.0	LY
1+LY+....txt	10.0	276.0	102500.0	LY
1+NA+....txt	40.0	401.0	24750.0	NA
1+NA+....txt	47.0	492.0	21111.0	NA
1+LY+....txt	72.0	437.0	13795.0	LY
1+NA+....txt	61.0	571.0	16423.0	NA
1+LY+....txt	31.0	345.0	32235.0	LY
1+IN+....txt	35.0	250.0	28611.0	IN
1+OP+....txt	32.0	652.0	31600.0	OP
1+IP+....txt	46.0	694.0	21600.0	IP
1+NA+....txt	35.0	496.0	28650.0	NA
1+IN+....txt	41.0	249.0	24115.0	IN
1+LY+....txt	5.0	469.0	207000.0	LY
1+IN+....txt	43.0	586.0	23200.0	IN
1+OP+....txt	51.0	103.0	19440.0	OP
1+IN+....txt	39.0	415.0	25711.0	IN
1+NA+....txt	48.0	510.0	21000.0	NA
1+OP+....txt	57.0	511.0	17621.0	OP
1+NA+....txt	32.0	579.0	30846.0	NA
1+IN+....txt	44.0	663.0	22625.0	IN
1+IP+....txt	39.0	653.0	25692.0	IP
1+IP+....txt	36.0	460.0	28000.0	IP
1+NA+....txt	33.0	535.0	30100.0	NA
1+OP+....txt	44.0	343.0	22977.0	OP
1+SP+....txt	67.0	378.0	14845.0	SP
1+NA+....txt	36.0	447.0	27865.0	NA
1+NA+....txt	60.0	527.0	16576.0	NA
1+OP+....txt	48.0	535.0	20650.0	OP
1+SP+....txt	64.0	353.0	15654.0	SP
1+OP+....txt	45.0	362.0	22441.0	OP
1+SP+....txt	43.0	506.0	23316.0	SP
1+LY+....txt	4.0	461.0	269000.0	LY
1+IP+....txt	45.0	100.0	22320.0	IP
1+OP+....txt	69.0	364.0	14418.0	OP
1+IP+....txt	28.0	506.0	35273.0	IP
1+SP+....txt	44.0	356.0	22909.0	SP
1+OP+....txt	39.0	458.0	25658.0	OP
1+LY+....txt	20.0	357.0	49222.0	LY
1+OP+....txt	43.0	485.0	23054.0	OP
1+LY+....txt	10.0	336.0	101250.0	LY
1+OP+....txt	33.0	509.0	30333.0	OP
1+SP+....txt	64.0	234.0	15665.0	SP
1+IN+....txt	46.0	409.0	21726.0	IN
1+SP+....txt	50.0	358.0	20053.0	SP
1+SP+....txt	84.0	294.0	11961.0	SP
1+LY+....txt	1.0	487.0	830000.0	LY
1+LY+....txt	8.0	359.0	118000.0	LY
1+SP+....txt	54.0	334.0	18540.0	SP
1+IP+....txt	36.0	393.0	27420.0	IP
1+IP+....txt	48.0	147.0	20750.0	IP
1+LY+....txt	2.0	317.0	508500.0	LY
1+SP+....txt	41.0	462.0	24593.0	SP
1+IP+....txt	31.0	578.0	32700.000000000004	IP
1+IN+....txt	37.0	312.0	26722.0	IN
1+OP+....txt	55.0	331.0	18165.0	OP
1+OP+....txt	42.0	588.0	23636.0	OP
1+OP+....txt	30.0	402.0	33773.0	OP
1+IP+....txt	60.0	322.0	16727.0	IP
1+NA+....txt	43.0	411.0	23060.0	NA
1+NA+....txt	33.0	523.0	30600.0	NA
1+IN+....txt	46.0	361.0	21557.0	IN
1+NA+....txt	33.0	453.0	29929.0	NA
1+IP+....txt	33.0	414.0	30733.0	IP
1+SP+....txt	54.0	268.0	18635.0	SP
1+SP+....txt	61.0	289.0	16514.0	SP
1+LY+....txt	41.0	705.0	24125.0	LY
1+OP+....txt	30.0	585.0	33750.0	OP
1+IP+....txt	53.0	320.0	18780.0	IP
1+IP+....txt	33.0	387.0	30597.0	IP
1+SP+....txt	45.0	242.0	22403.0	SP
1+IN+....txt	42.0	451.0	23579.0	IN
1+SP+....txt	51.0	267.0	19507.0	SP
1+NA+....txt	48.0	382.0	21000.0	NA
1+OP+....txt	40.0	518.0	25214.0	OP
1+IP+....txt	45.0	636.0	22455.0	IP
1+SP+....txt	74.0	470.0	13500.0	SP
1+IN+....txt	46.0	340.0	21505.0	IN
1+IN+....txt	35.0	258.0	28240.0	IN
1+LY+....txt	13.0	458.0	77000.0	LY
1+OP+....txt	32.0	570.0	31214.0	OP
1+LY+....txt	4.0	110.0	264018.0	LY
1+IN+....txt	45.0	447.0	22088.0	IN
1+NA+....txt	42.0	502.0	23706.0	NA
1+OP+....txt	41.0	422.0	24148.0	OP
1+IN+....txt	47.0	250.0	21392.0	IN
1+IN+....txt	41.0	595.0	24500.0	IN
1+NA+....txt	37.0	756.0	26667.0	NA
1+IN+....txt	52.0	229.0	19349.0	IN
1+IN+....txt	43.0	334.0	23106.0	IN
1+SP+....txt	52.0	421.0	19273.0	SP
1+IN+....txt	41.0	281.0	24558.0	IN
1+SP+....txt	48.0	305.0	20907.0	SP
1+OP+....txt	36.0	369.0	28151.0	OP
